日期,标题,链接,浏览次数
2019-09-12,《人民论坛》发表北师大章文光教授主持的国务院扶贫办建档立卡专项评估检查项目系列研究成果,http://news.bnu.edu.cn/zx/ttgz/111388.htm,760
2019-09-12,北京师范大学党委理论学习中心组专题学习贯彻习近平总书记在中央和国家机关党的建设工作会议上重要讲话精神,http://news.bnu.edu.cn/zx/ttgz/111384.htm,730
2019-09-12,北师大首次参加泰晤士高等教育世界大学排名,http://news.bnu.edu.cn/zx/ttgz/111379.htm,1703
2019-09-10,我师过节，南北共谱新“师”篇！,https://mp.weixin.qq.com/s/R19A1VXqZrVZe96LsVcnUg,1
2019-09-10,2019年优秀特岗教师巡回报告会在北师大举行,http://news.bnu.edu.cn/zx/ttgz/111307.htm,530
2019-09-10,京师百年弘教化，粤海千里再扬帆 ——写在北京师范大学珠海校区教师教育改革探索之初,http://news.bnu.edu.cn/zx/ttgz/111299.htm,4310
2019-09-10,北师大珠海园区举行庆祝第35个教师节“四有好老师”专题报告会,http://news.bnu.edu.cn/zx/ttgz/111297.htm,1291
2019-09-08,北师大珠海校区开展2019级新生入学教育,http://news.bnu.edu.cn/zx/ttgz/111278.htm,1198
2019-09-06,《〈说文解字〉同源字新证》出版暨 “数字化《说文解字》”平台上线联合发布会在京举行,http://news.bnu.edu.cn/zx/ttgz/111283.htm,459
2019-09-06,择一事终一生，献礼新中国第35个教师节——电影《一生只为一事来》首映礼在北师大举行,http://news.bnu.edu.cn/zx/ttgz/111273.htm,2126
2019-09-06,资深教授王宁老师给未来教育学院新生“说文解字”,http://news.bnu.edu.cn/zx/ttgz/111269.htm,1326
2019-09-06,5G助力北师大2019智慧迎新，有“新”更有“心”,https://open.work.weixin.qq.com/wwopen/mpnews?mixuin=aBAGBgAABwA1JHIvAAAUAA&mfid=WW0306-WRsT2AAABwA5exvO97Rqkw18bRc39&idx=0&sn=0ece9f77214b6c1d3acf2e31175f16ab,1
2019-09-06,北师大优秀校友黄文秀入选第七届全国道德模范,http://news.bnu.edu.cn/zx/ttgz/111256.htm,1372
2019-09-05,【光明日报】张铭雨：民国时期清华学人“破格”录取的历史考察 ——兼论史实考证与历史虚无主义批驳,http://news.bnu.edu.cn/zx/ttgz/111251.htm,567
2019-09-05,北师大集中开展北京校区2019级本科新生入学教育,http://news.bnu.edu.cn/zx/ttgz/111254.htm,648
2019-09-03,北师大珠海校区未来教育学院开课了！,http://news.bnu.edu.cn/zx/ttgz/111210.htm,1925
2019-09-03,新学年开启：您有一份电影家书，请注意查收！——纪录电影《零零后》全国首映礼  ,http://news.bnu.edu.cn/zx/ttgz/111195.htm,928
2019-09-03,“回音计划”播放量1.3亿收官！全国师范院校联庆活动火热开启,http://news.bnu.edu.cn/zx/ttgz/111188.htm,634
2019-09-02,﻿北京师范大学举行北京校区2019级新生开学典礼,http://news.bnu.edu.cn/zx/ttgz/111171.htm,3652
2019-09-02,北京师范大学北京校区喜迎2019级新生,http://news.bnu.edu.cn/zx/ttgz/111156.htm,1574
2019-09-02,做勇担时代使命的北师大人——董奇校长在北京校区2019年开学典礼上的讲话,http://news.bnu.edu.cn/zx/ttgz/111150.htm,2711
2019-09-01,北京师范大学举行珠海校区首届新生开学典礼,http://news.bnu.edu.cn/zx/ttgz/111144.htm,6274
2019-08-30,立大志、擅学习、力践行 | 北京师范大学珠海分校举行2019级本科生开学典礼,https://mp.weixin.qq.com/s/D_9Kzp0kImhTi2uqKl2RLg,1
2019-08-29,北师大召开2019年暑期干部会 部署新学期重点工作,http://news.bnu.edu.cn/zx/ttgz/111120.htm,1525
2019-08-29,北师大珠海分校迎新！我们和南国北师一见钟情！,https://mp.weixin.qq.com/s/wjocjHuGJoxTcmKjFOMAUg,1
2019-08-28,全国社科工作办主任姜培茂一行考察北师大中国教育与社会发展研究院,http://news.bnu.edu.cn/zx/ttgz/111110.htm,1308
2019-08-26,教育部长陈宝生一线走访，面对面听取顾明远等专家意见建议,http://news.bnu.edu.cn/zx/ttgz/111072.htm,1943
2019-08-25,《2019全球教育机器人发展白皮书》在京发布,http://news.bnu.edu.cn/zx/ttgz/111069.htm,589
2019-08-25,北京师范大学举行“不忘初心、牢记使命”暑期领导干部专题读书班暨党委理论中心组集体学习,http://news.bnu.edu.cn/zx/ttgz/111065.htm,1192
2019-08-24,北师大举办2019毕业秩年校友返校活动,http://news.bnu.edu.cn/zx/ttgz/111062.htm,2532
2019-08-23,北师大艺术与传媒学院联合抖音启动全民美育“DOU艺计划”,http://news.bnu.edu.cn/zx/ttgz/111052.htm,588
2019-08-20,“一带一路”2019学术出版论坛：连通中西暨《中外出版原著选读》首发式在北师大举行,http://news.bnu.edu.cn/zx/ttgz/111046.htm,792
2019-08-06,章文光：决胜脱贫攻坚背景下的“六个精准”实践分析,http://news.bnu.edu.cn/zx/ttgz/110978.htm,1232
2019-08-06,【人民日报】程建平：立德树人的关键课程,http://news.bnu.edu.cn/zx/ttgz/110977.htm,1976
2019-08-04,程建平一行赴北师大宣城学校调研指导,http://news.bnu.edu.cn/zx/ttgz/110971.htm,1739
